,name,year,song_name,performed_by
742,Spider-Man: Into the Spider-Verse,2018,Taut Walk ,
743,Old Boy,2003,Bring My Love ,
744,Old Boy,2003,Winter ,
745,Old Boy,2003,Waltz ,
746,Braveheart,1995,Not available,
747,Toy Story,1995,You've Got a Friend in Me ,
748,Toy Story,1995,Strange Things ,
749,Toy Story,1995,I Will Go Sailing No More ,
750,Toy Story,1995,Pop Goes the Weasel ,
751,Toy Story,1995,Hakuna Matata ,Nathan Lane (uncredited) and Ernie Sabella (uncredited) 
752,Toy Story,1995,You've Got a Friend in Me ,Randy Newman & Lyle Lovett 
753,Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492, Act IV, Ah Tutti Contenti ",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields) 
754,Amadeus,1984,"Don Giovanni, K. 527, A Cenar Teco, Da Qual Tremore Insolito... ",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields) 
755,Amadeus,1984,"Axur, Re d'Ormus: Finale ",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields) 
756,Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384, Marten Aller Arten ",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields) 
757,Amadeus,1984,"Die Zauberflöte (The Magic Flute), K. 620, Aria No. 14, Der Holle Rache Kocht ",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields) 
758,Amadeus,1984,"Concerto for Piano in E Flat Major, K. 482, 3rd Movement, Allegro ",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields) 
759,Amadeus,1984,"Concerto for Piano in D Minor, K. 466 ",The Academy of St. Martin-in-the-Fields (as Academy of St Martin In The Fields) 
760,Amadeus,1984,"Symphony No. 25 in G Minor, K. 183: 1st Movement ",The Academy of St. Martin-in-the-Fields 
761,Amadeus,1984,"Lacrimosa, Requiem Mass in D, K. 626 ",The Academy of St. Martin-in-the-Fields 
762,Amadeus,1984,"Harpsichord Piece in F Major, K. 33B ",Young Mozart on harpsichord and on violin when blindfolded
763,Amadeus,1984,Caro Mio Ben ,The Academy of St. Martin-in-the-Fields 
764,Amadeus,1984,"Adagio and Rondo for Glass Harmonica, Flute, Oboe, Viola and Cello, K. 617 ",
765,Amadeus,1984,"Confutatis, Requiem Mass in D, K. 626 ",
766,Amadeus,1984,Serenade K. 361 Gran Partita for 13 Wind Instruments: Adagio ,
767,Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492: Act 1 - Non Più Andrai (Overture) ",
768,Amadeus,1984,"A Little Night Music Serenade in G for Strings 'Eine Kleine Nachtmusik', K. 525, 1st Movement ",
769,Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384: Turkish Finale ",
770,Amadeus,1984,"Mass in C Minor, K. 427: Kyrie ",
771,Amadeus,1984,"Concerto for Flute and Harp, K. 299 2nd Movement ",
772,Amadeus,1984,"Allegro Moderato from Symphony No. 29 in A Major, K. 201 ",
773,Amadeus,1984,Concerto No. 10 for Two Pianos and Orchestra in E-Flat Minor (K. 365) 3rd Movement ,
774,Amadeus,1984,"Allegro Maestoso from Sinfonia Concertante for Violin, Viola, and Orchestra in E-flat Major, K. 364 ",
775,Amadeus,1984,"Piano Concerto No. 15 in B-Flat, K. 450: III. Allegro ",
776,Amadeus,1984,Ich Möchte Wohl Der Kaiser Sein (K539) ,
777,Amadeus,1984,Die Zauberflöte (The Magic Flute) Act 2 - Pa-Pa-Pa-Pa-Pa-Pa-Papagena! ,
778,Amadeus,1984,Die Zauberflöte (The Magic Flute) Act 2 - Ein Mädchen Oder Weibchen ,
779,Amadeus,1984,"Six German Dances, K. 509: No. 1 in D Major ",
780,Amadeus,1984,"Don Giovanni, K. 527: Overture ",
781,Amadeus,1984,"Axur, Re d'Ormus: Act IV: Son Queste Le Speranze ",
782,Amadeus,1984,"Rex Tremendae Majestatis, Requiem, K. 626 ",
783,Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act I: Duettino: Cinque...Dieci...Venti ",
784,Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act I, Singt dem Grossen Bassa Lieder ",
785,Amadeus,1984,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act III: Finale: Amanti Costanti (Ecco la Marcia) ",
786,Amadeus,1984,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act II: Duet: Vivat Bacchus! Bacchus Lebe! ",
787,Amadeus,1984,"Die Zauberflöte (The Magic Flute), K. 620/Act I: Overture ",
788,Amadeus,1984,"Dies Irae, Requiem Mass in D, K. 626 ",
789,Amadeus,1984,"Introitus, Requiem Mass in D, K. 626 ",
790,Amadeus,1984,"Don Giovanni, K. 527: Act II, Commendatore Scene ",
791,Amadeus,1984,"Don Giovanni, K. 527: Act I, La Ci Darem La Mano ",
792,Amadeus,1984,Bubak and Hungaricus ,
793,Amadeus,1984,Stabat Mater; Quando Corpus Morietur and Amen ,
794,Coco,2017,Remember Me ,
795,Coco,2017,Everyone Knows Juanita ,Gael García Bernal
796,Coco,2017,Un Poco Loco ,Anthony Gonzalez & Gael García Bernal
797,Coco,2017,Proud Corazón ,Anthony Gonzalez
798,Coco,2017,The World Es Mi Familia ,Anthony Gonzalez & Antonio Sol
799,Coco,2017,Allá en el Rancho Grande ,
800,Coco,2017,La Llorona ,Alanna Ubach & Antonio Sol
801,Coco,2017,Ciudad Victoria ,
802,Coco,2017,Dora's Dance ,
803,Coco,2017,La Petenera ,
804,Coco,2017,La Zandunga ,
805,Coco,2017,Jálale ,Instituto Mexicano de Sonido (as Mexican Institute of Sound) 
806,Coco,2017,"Hoy No Fío, Mañana Sí ",Instituto Mexicano de Sonido (as Mexican Institute of Sound) 
807,Coco,2017,Remember Me (Dúo) ,Miguel featuring Natalia Lafourcade 
808,Coco,2017,Much Needed Advice ,Benjamin Bratt and Antonio Sol
809,Inglourious Basterds,2009,The Green Leaves of Summer ,The Nick Perito Orchestra (as Nick Perito & His Orchestra) 
810,Inglourious Basterds,2009,The Verdict ,Ennio Morricone 
811,Inglourious Basterds,2009,L'incontro Con La Figlia ,Ennio Morricone 
812,Inglourious Basterds,2009,White Lightning (Main Title) ,Charles Bernstein from the motion picture White Lightning (1973) 
813,Inglourious Basterds,2009,Il Mercenario (Ripresa) ,Ennio Morricone 
814,Inglourious Basterds,2009,Slaughter ,Billy Preston 
815,Inglourious Basterds,2009,Algeri: 1 Novembre 1954 (Battle of Algiers) ,
816,Inglourious Basterds,2009,The Surrender ,Ennio Morricone 
817,Inglourious Basterds,2009,One Silver Dollar ,The Film Studio Orchestra 
818,Inglourious Basterds,2009,Hound Chase (Intro) ,Charles Bernstein from the motion picture White Lightning (1973) 
819,Inglourious Basterds,2009,Al di là della legge ,Riz Ortolani 
820,Inglourious Basterds,2009,Bath Attack ,Charles Bernstein 
821,Inglourious Basterds,2009,Claire's First Appearence ,Jacques Loussier 
822,Inglourious Basterds,2009,The Fight ,Jacques Loussier 
823,Inglourious Basterds,2009,Davon geht die Welt nicht unter ,Zarah Leander from Die große Liebe (1942)
824,Inglourious Basterds,2009,The Man with the Big Sombrero ,Samantha Shelton and Michael Andrew 
825,Inglourious Basterds,2009,Ich wollt ich waer ein Huhn ,"Lilian Harvey, Willy Fritsch "
826,Inglourious Basterds,2009,Main Theme ,Jacques Loussier 
827,Inglourious Basterds,2009,Cat People (Putting Out the Fire) ,David Bowie 
828,Inglourious Basterds,2009,Mystic and Severe ,Ennio Morricone 
829,Inglourious Basterds,2009,The Devil's Rumble ,Davie Allan and The Arrows from the motion picture Devil's Angels (1967) 
830,Inglourious Basterds,2009,What'd I Say ,Rare Earth 
831,Inglourious Basterds,2009,Zulus ,"Elmer Bernstein, conducting the Royal Philharmonic Orchestra "
832,Inglourious Basterds,2009,Tiger Tank ,
833,Inglourious Basterds,2009,Eastern Condors ,
834,Inglourious Basterds,2009,Un Amico ,Ennio Morricone 
835,Inglourious Basterds,2009,Rabbia e Tarantella ,Ennio Morricone 
836,The Boat,1981,La Paloma ,Rosita Serrano 
837,The Boat,1981,J'Attendrai ,Rina Ketty
838,The Boat,1981,It's a Long Way to Tipperary ,The Red Army Choir
839,The Boat,1981,Erzherzog-Albretch-Marsch ,
840,The Boat,1981,Sing Nachtigall Sing ,Evelyn Künneke
841,The Boat,1981,Heimat deine Sterne ,Wilhelm Strienz
842,The Boat,1981,Mon Gars ,Rita Cadillac 
843,The Boat,1981,Westerwaldlied ,
844,The Boat,1981,Muss i' denn zum Städtele hinaus ,
845,The Boat,1981,Parlez-moi d'Amour ,Lucienne Boyer
846,The Boat,1981,Varsity Rag ,
847,Avengers: Endgame,2019,Dear Mr. Fantasy ,Traffic 
848,Avengers: Endgame,2019,Ant-Man Theme ,
849,Avengers: Endgame,2019,Let's Go ,
850,Avengers: Endgame,2019,Supersonic Rocket Ship ,The Kinks 
851,Avengers: Endgame,2019,Doom and Gloom ,The Rolling Stones 
852,Avengers: Endgame,2019,Doctor Strange Theme ,
853,Avengers: Endgame,2019,Hey Lawdy Mama ,Steppenwolf 
854,Avengers: Endgame,2019,Come and Get Your Love ,Redbone 
855,Avengers: Endgame,2019,"It's Been a Long, Long Time ",Harry James and His Orchestra (as Harry James & His Orchestra) 
856,Avengers: Endgame,2019,La Cucaracha ,
857,Avengers: Endgame,2019,Captain Marvel Theme ,
858,Avengers: Endgame,2019,Make Way For Tomorrow Today ,
859,Princess Mononoke,1997,Mononoke-Hime/Princess Mononoke Theme Song ,
860,Princess Mononoke,1997,Princess Mononoke Theme Song (Mononoke-Hime) ,
861,Princess Mononoke,1997,The Tatara Women Work Song (Tatara Fumu Onnatachi) ,
862,Once Upon a Time in America,1984,God Bless America ,Kate Smith 
863,Once Upon a Time in America,1984,'Summertime' from 'Porgy and Bess' ,
864,Once Upon a Time in America,1984,Night and Day ,
865,Once Upon a Time in America,1984,Yesterday ,
866,Once Upon a Time in America,1984,Amapola ,
867,Once Upon a Time in America,1984,La Gazza Ladra ,
868,Once Upon a Time in America,1984,St. James Infirmary Blues ,
869,Once Upon a Time in America,1984,Cockeye's Song/Childhood Memories ,
870,Once Upon a Time in America,1984,Poverty ,
871,Good Will Hunting,1997,Big Strong Man ,The Wolfetones (as Wolfe Tones) 
872,Good Will Hunting,1997,If I Had the Last Dream in the World ,Northeast Connection
873,Good Will Hunting,1997,Baker Street ,
874,Good Will Hunting,1997,Room ,
875,Good Will Hunting,1997,Boys Better ,The Dandy Warhols (as Dandy Warhols) 
876,Good Will Hunting,1997,We Still Need More Than Anyone Can Give ,Supergrass 
877,Good Will Hunting,1997,No Name #3 ,
878,Good Will Hunting,1997,Runaway ,Del Shannon 
879,Good Will Hunting,1997,Why Do I Lie? ,Luscious Jackson 
880,Good Will Hunting,1997,"Grand Sonata in B-Flat Major, Op. 30/D.617 ",Dana Muller and Gary Steigerwalt 
881,Good Will Hunting,1997,Somebody's Baby ,Andru Donalds 
882,Good Will Hunting,1997,"Six Grandes Marches, Op. 40/D.819, No. 5 ",Dana Muller and Gary Steigerwalt 
883,Good Will Hunting,1997,Say Yes ,
884,Good Will Hunting,1997,As the Rain ,
885,Good Will Hunting,1997,People ,
886,Good Will Hunting,1997,Between the Bars ,
887,Good Will Hunting,1997,Handle on My Heart ,
888,Good Will Hunting,1997,Fisherman's Blues ,The Waterboys 
889,Good Will Hunting,1997,How Can You Mend a Broken Heart ,Al Green 
890,Good Will Hunting,1997,Tommy Bhetty's Waltz ,Altan 
891,Good Will Hunting,1997,Angeles ,
892,Good Will Hunting,1997,Heart & Soul ,Wolfstone 
893,Good Will Hunting,1997,Danny Boy ,
894,Good Will Hunting,1997,Miss Misery ,
895,Good Will Hunting,1997,Afternoon Delight ,Starland Vocal Band 
896,Toy Story 3,2010,We Belong Together ,
897,Toy Story 3,2010,You've Got A Friend In Me ,
898,Toy Story 3,2010,You've Got A Friend In Me (para Buzz Español) ,Gipsy Kings Featuring Nicolas Reyes and Tonino Baliardo 
899,Toy Story 3,2010,Dream Weaver ,
900,Toy Story 3,2010,Le Freak ,Chic 
901,Requiem for a Dream,2000,Bialy & Lox Conga ,"The Moonrats Marcel Reginatto - Saxophone, Vocals Brian Emrich - Bass Guitar, Vocals Oscar Oñoz - Trumpet, Vocals Theodore Birkey - Keyboards, Vocals Tico Torres (as Hector Torres) - Percussion, Vocals Darren Aronofsky - Vocals "
902,Requiem for a Dream,2000,Bugs' Got a Devilish Grin Conga ,"The Moonrats Marcel Reginatto - Saxophone, Vocals Brian Emrich - Bass Guitar, Vocals Oscar Oñoz - Trumpet, Vocals Theodore Birkey - Keyboards, Vocals Tico Torres (as Hector Torres) - Percussion, Vocals Darren Aronofsky - Vocals "
903,Requiem for a Dream,2000,Summer Overture ,
904,3 Idiots,2009,Aal Izz Well ,"Sonu Nigam, Swanand Kirkire and Shaan "
905,3 Idiots,2009,Zoobi Doobi ,Sonu Nigam and Shreya Ghoshal 
906,3 Idiots,2009,Behti Hawa Sa Tha Woh ,Shantanu Moitra and Shaan 
907,3 Idiots,2009,Give Me Some Sunshine ,Suraj Jagan and Sharman Joshi 
908,3 Idiots,2009,Jaane Nahin Denge Tujhe ,Sonu Nigam 
909,3 Idiots,2009,Zoobi Doobi - Remix ,Sonu Nigam and Shreya Ghoshal 
910,3 Idiots,2009,Aal Izz Well - Remix ,"Sonu Nigam, Swanand Kirkire and Shaan "
911,Your Name.,2016,Yumetourou (Dream Lanturn) ,
912,Your Name.,2016,Zen Zen Zense ,
913,Your Name.,2016,Sparkle ,
914,Your Name.,2016,Nande mo naiya (It's Nothing) ,
915,Singin' in the Rain,1952,Fit as a Fiddle ,
916,Singin' in the Rain,1952,Temptation ,
917,Singin' in the Rain,1952,All I Do Is Dream of You ,
918,Singin' in the Rain,1952,Make 'em Laugh ,
919,Singin' in the Rain,1952,I've Got a Feelin' You're Foolin' ,
920,Singin' in the Rain,1952,The Wedding of the Painted Doll ,
921,Singin' in the Rain,1952,Should I? ,
922,Singin' in the Rain,1952,Beautiful Girl ,
923,Singin' in the Rain,1952,You Were Meant For Me ,
924,Singin' in the Rain,1952,Moses Supposes ,
925,Singin' in the Rain,1952,Good Morning ,
926,Singin' in the Rain,1952,Singin' in the Rain ,
927,Singin' in the Rain,1952,Would You ,
928,Singin' in the Rain,1952,Broadway Rhythm Ballet ,
929,Singin' in the Rain,1952,Singin in the Rain (in A-Flat) ,
930,Singin' in the Rain,1952,You Are My Lucky Star ,
931,Singin' in the Rain,1952,Main Title ,MGM Studio Orchestra 
932,Singin' in the Rain,1952,Dignity ,MGM Studio Orchestra
933,Singin' in the Rain,1952,Stunt Montage ,MGM Studio Orchestra
934,Singin' in the Rain,1952,First Silent Picture ,MGM Studio Orchestra
935,Singin' in the Rain,1952,Gene Dreams of Kathy ,MGM Studio Orchestra
936,Singin' in the Rain,1952,Good Night Kathy ,MGM Studio Orchestra
937,Singin' in the Rain,1952,From Dueling to Dancing ,MGM Studio Orchestra
938,Singin' in the Rain,1952,Would You? (End Title) ,MGM Studio Orchestra 
939,Singin' in the Rain,1952,March: News of the Day ,
940,Star Wars: Episode VI - Return of the Jedi,1983,Lapti Nek ,
941,Star Wars: Episode VI - Return of the Jedi,1983,Ewok Celebration ,
942,Star Wars: Episode VI - Return of the Jedi,1983,Jedi Rocks ,
943,Reservoir Dogs,1992,Little Green Bag ,George Baker Selection 
944,Reservoir Dogs,1992,Stuck in the Middle with You ,Stealers Wheel 
945,Reservoir Dogs,1992,I Gotcha ,
946,Reservoir Dogs,1992,Fool for Love ,
947,Reservoir Dogs,1992,Hooked on a Feeling ,Björn Skifs 
948,Reservoir Dogs,1992,Coconut ,
949,Reservoir Dogs,1992,Harvest Moon ,Bedlam 
950,Reservoir Dogs,1992,Magic Carpet Ride ,Bedlam 
951,Reservoir Dogs,1992,Wes Turned Country ,
952,Reservoir Dogs,1992,Country's Cool ,
953,Reservoir Dogs,1992,It's Country ,The Kronborg Strings 
954,Eternal Sunshine of the Spotless Mind,2004,Everybody's Gotta Learn Sometime ,Beck 
955,Eternal Sunshine of the Spotless Mind,2004,Something ,The Willowz
956,Eternal Sunshine of the Spotless Mind,2004,Keep On Looking ,The Willowz
957,Eternal Sunshine of the Spotless Mind,2004,Tere Sang Pyar Main ,Lata Mangeshkar 
958,Eternal Sunshine of the Spotless Mind,2004,Mere Man Tera Pyasa ,Mohammad Rafi (as Mohd. Rafi) 
959,Eternal Sunshine of the Spotless Mind,2004,"Concerto No. 8 in D Major, Opus 99 ",
960,Eternal Sunshine of the Spotless Mind,2004,Wada Na Tod ,Lata Mangeshkar 
961,Eternal Sunshine of the Spotless Mind,2004,Some Kinda Shuffle ,
962,Eternal Sunshine of the Spotless Mind,2004,Nola's Bounce ,
963,Eternal Sunshine of the Spotless Mind,2004,Light And Day/Reach For The Sun ,The Polyphonic Spree 
964,Eternal Sunshine of the Spotless Mind,2004,"Oh My Darling, Clementine ",
965,Eternal Sunshine of the Spotless Mind,2004,Row Row Row Your Boat ,
966,Eternal Sunshine of the Spotless Mind,2004,Mr. Blue Sky ,Electric Light Orchestra 
967,2001: A Space Odyssey,1968,Gayane Ballet Suite -- Gayane's Adagio ,Leningrad Philharmonic Orchestra (as the Leningrad Philharmonic Orchestra) Conductor Gennadi Rozhdestvensky Courtesy Deutsche Grammophon
968,2001: A Space Odyssey,1968,Atmospheres ,Southwest German Radio Orchestra (as the Southwest German Radio Orchestra) Conductor Ernest Bour
969,2001: A Space Odyssey,1968,Lux Aeterna ,Stuttgart Schola Cantorum (as the Stuttgart Schola Cantorum) Conductor Clytus Gottwald
970,2001: A Space Odyssey,1968,Requiem ,Bavarian Radio Orchestra (as the Bavarian Radio Orchestra) Conductor Francis Travis
971,2001: A Space Odyssey,1968,The Blue Danube ,Berliner Philharmoniker (as the Berlin Philharmonic Orchestra) Conductor Herbert von Karajan Courtesy Deutsche Grammophon
972,2001: A Space Odyssey,1968,Thus Spoke Zarathustra ,Wiener Philharmoniker (uncredited) 
973,2001: A Space Odyssey,1968,Adventures ,The International Chamber Ensemble Darmstadt Conductor Bruno Maderna
974,2001: A Space Odyssey,1968,Happy Birthday to You ,Alan Gifford and Ann Gillis
975,2001: A Space Odyssey,1968,Off Beats Mood ,Sidney Torch BBC segment opening theme.
976,2001: A Space Odyssey,1968,Daisy Bell (A Bicycle Built for Two) ,
977,High and Low,1963,The Magic Begins ,Yumi Shirakawa
978,High and Low,1963,It's Now or Never ,
979,High and Low,1963,Die Forelle ,
980,High and Low,1963,"Forellenquintett (Trout Quintet), 4th movement ",
981,Citizen Kane,1941,It Can't Be Love ,"Raymond Tate, Buddy Collette, Buddy Banks, CeePee Johnson, and Alton Redd"
982,Citizen Kane,1941,Una voce poco fa ,
983,Citizen Kane,1941,A Poco No ,
984,Citizen Kane,1941,Funeral March ,
985,Citizen Kane,1941,A Hot Time in the Old Town ,
986,Citizen Kane,1941,The Battle Cry of Freedom ,
987,Citizen Kane,1941,The Girl I Left Behind Me ,
988,Citizen Kane,1941,In A Mizz ,
989,Citizen Kane,1941,"Song Without Words, Op. 62 No.3 (Funeral March) ",
990,Citizen Kane,1941,Aria from Salammbo ,
991,Citizen Kane,1941,Theme ,
992,Citizen Kane,1941,Theme ,
993,Citizen Kane,1941,Theme ,
994,Citizen Kane,1941,Theme ,
995,Citizen Kane,1941,Theme ,
996,Citizen Kane,1941,Theme ,
997,Citizen Kane,1941,Theme ,
998,Citizen Kane,1941,Theme ,
999,Citizen Kane,1941,Theme ,
1000,Citizen Kane,1941,Theme ,
1001,Citizen Kane,1941,Theme ,
1002,Citizen Kane,1941,Theme ,
1003,Citizen Kane,1941,Theme ,
1004,Citizen Kane,1941,Theme ,
1005,Citizen Kane,1941,Charlie Kane ,
1006,Citizen Kane,1941,Pilgrim's Chorus ,
1007,Capernaum,2018,Not available,
1008,Lawrence of Arabia,1962,The Man Who Broke the Bank at Monte Carlo ,
1009,Lawrence of Arabia,1962,Overture ,London Philharmonic Orchestra 
1010,Lawrence of Arabia,1962,Main Title ,London Philharmonic Orchestra 
1011,Lawrence of Arabia,1962,Miracle ,London Philharmonic Orchestra 
1012,Lawrence of Arabia,1962,Nefud Mirage ,London Philharmonic Orchestra 
1013,Lawrence of Arabia,1962,Rescue of Gasim ,London Philharmonic Orchestra 
1014,Lawrence of Arabia,1962,Brining Gasim Into Camp ,London Philharmonic Orchestra 
1015,Lawrence of Arabia,1962,Arrival At Auda's Camo ,London Philharmonic Orchestra 
1016,Lawrence of Arabia,1962,The Voice Of The Guns ,London Philharmonic Orchestra 
1017,Lawrence of Arabia,1962,In Whose Name Do You Ride? ,London Philharmonic Orchestra 
1018,Lawrence of Arabia,1962,Continuation Of The Mircal ,London Philharmonic Orchestra 
1019,Lawrence of Arabia,1962,Sun's Anvil ,London Philharmonic Orchestra 
1020,Lawrence of Arabia,1962,Lawrence And Bodyguard ,London Philharmonic Orchestra 
1021,Lawrence of Arabia,1962,That Is The Desert ,London Philharmonic Orchestra 
1022,Lawrence of Arabia,1962,End Title ,London Philharmonic Orchestra 
1023,M,1931,Le Halle du Roi de la Montagne ,
1024,M,1931,La Marseillaise ,Peter Lorre
1025,North by Northwest,1959,It's a Most Unusual Day ,
1026,North by Northwest,1959,I've Grown Accustomed to Her Face ,
1027,North by Northwest,1959,Singin' in the Rain ,
1028,The Hunt,2012,Moondance ,
1029,The Hunt,2012,Julen har bragt velsignet bud ,Kathy Bødker
1030,The Hunt,2012,Jingle Bells ,
1031,The Hunt,2012,Mit Hjerte altid vanker ,
1032,The Hunt,2012,In the Bleak Midwinter ,
1033,The Hunt,2012,I Was Not To You What You Were To Me ,Andi Almqvist 
1034,The Hunt,2012,Es ist ein Ros' entsprungen ,
1035,The Hunt,2012,A Child Is Born in Bethlehem ,
1036,Vertigo,1958,"Symphony No. 34 in C K. 338, 2nd Movement, Andante di Molto (piu tosto allegretto) ",
1037,Vertigo,1958,Sardis #4 ,
1038,Amélie,2001,Les Jours Tristes (instrumental) ,
1039,Amélie,2001,Naomi ,
1040,Amélie,2001,Whispering ,Radio Rhythm Rascals & Val Rosing
1041,Amélie,2001,Adagio pour cordes ,Capella Istropolitana
1042,Amélie,2001,With a Song in My Heart ,Jack Hylton and His Orchestra
1043,Amélie,2001,Guilty ,Al Bowlly
1044,Amélie,2001,Sweet and Lovely ,
1045,Amélie,2001,Dancing in the Dark ,Carroll Gibbons
1046,Amélie,2001,Ciribiribin ,
1047,Amélie,2001,Fire ,
1048,Amélie,2001,Brouillard ,
1049,Amélie,2001,Got a Date with an Angel ,
1050,Amélie,2001,Father's Little Dividend ,
1051,Amélie,2001,Rose du Sud ,
1052,Amélie,2001,Si tu n'Étais pas là ,Fréhel
1053,Amélie,2001,Générique journal télévisé,
1054,Amélie,2001,The Child ,Alex Gopher
1055,Amélie,2001,Up Above My Head ,Sister Rosetta Tharpe
1056,A Clockwork Orange,1971,"Symphony No.9 in D Minor, Opus 125 Choral: II. Scherzo. Molto vivace ",
1057,A Clockwork Orange,1971,The Thieving Magpie (Overture) ,
1058,A Clockwork Orange,1971,Molly Malone ,Paul Farrell
1059,A Clockwork Orange,1971,William Tell (Overture) ,
1060,A Clockwork Orange,1971,I Want to Marry a Lighthouse Keeper ,
1061,A Clockwork Orange,1971,Singin' In the Rain ,Gene Kelly 
1062,A Clockwork Orange,1971,Overture to the Sun ,
1063,A Clockwork Orange,1971,March from 'Funeral Music for Queen Mary' ,
1064,A Clockwork Orange,1971,Pomp and Circumstance Marches No.1 and 4 ,
1065,A Clockwork Orange,1971,Orange Minuet ,
1066,A Clockwork Orange,1971,The Sea And Sinbad's Ship ,
1067,A Clockwork Orange,1971,Biblical Daydreams ,
1068,A Clockwork Orange,1971,Timesteps ,
1069,A Clockwork Orange,1971,Country Lane ,
1070,Full Metal Jacket,1987,Hello Vietnam ,Johnny Wright 
1071,Full Metal Jacket,1987,These Boots Are Made For Walkin' ,Nancy Sinatra 
1072,Full Metal Jacket,1987,Wooly Bully ,Sam the Sham and The Pharaohs 
1073,Full Metal Jacket,1987,The Marines Hymn ,The Goldman Band 
1074,Full Metal Jacket,1987,Chapel Of Love ,The Dixie Cups 
1075,Full Metal Jacket,1987,Surfin' Bird ,The Trashmen 
1076,Full Metal Jacket,1987,"Paint It, Black ",The Rolling Stones 
1077,Full Metal Jacket,1987,Mickey Mouse Club March ,
1078,Full Metal Jacket,1987,Happy Birthday ,
1079,Scarface,1983,Scarface (Push It to the Limit) ,Paul Engemann 
1080,Scarface,1983,Rush Rush ,Debbie Harry 
1081,Scarface,1983,Turn Out the Night ,Amy Holland 
1082,Scarface,1983,Vamos a Bailar ,Maria Conchita Alonso (as Maria Conchita) 
1083,Scarface,1983,Tony's Theme ,Giorgio Moroder 
1084,Scarface,1983,She's on Fire ,Amy Holland 
1085,Scarface,1983,Shake It Up ,Elizabeth Daily 
1086,Scarface,1983,Dance Dance Dance ,Beth Anderson (as Beth Andersen) 
1087,Scarface,1983,I'm Hot Tonight ,Elizabeth Daily 
1088,Scarface,1983,Gina's and Elvira's Theme ,Helen St. John 
1089,Scarface,1983,Strangers in the Night ,Frank Sinatra 
1090,Come and See,1985,Die Walküre ,
1091,Come and See,1985,Lacrimosa ,
1092,Come and See,1985,The Sacred War ,
1093,Come and See,1985,Korobeiniki ,
1094,Come and See,1985,Im Wald im grünen Walde ,
1095,Come and See,1985,Blue Danube ,
1096,Come and See,1985,Tannhäuser ,
1097,Come and See,1985,Moya Marusitschka ,
1098,Double Indemnity,1944,Tangerine ,
1099,Double Indemnity,1944,My Ideal ,
1100,Double Indemnity,1944,"Symphony No 8 in B minor, Unfinished ",
1101,The Apartment,1960,Adeste Fideles (O Come All Ye Faithful) ,
1102,The Apartment,1960,"Capriccio Italien, Op. 45 ",
1103,The Apartment,1960,Jealous Lover ,
1104,The Apartment,1960,Auld Lang Syne ,
1105,The Apartment,1960,Magdalena ,
1106,The Apartment,1960,Lonely Room ,
1107,The Apartment,1960,There is a Tavern in the Town ,
1108,The Apartment,1960,Little Brown Jug ,
1109,The Apartment,1960,Jingle Bells ,
1110,Taxi Driver,1976,Late For The Sky ,
1111,Taxi Driver,1976,Hold Me Close ,
1112,Taxi Driver,1976,"The Pilgrim, Chapter 33 ",
1113,Taxi Driver,1976,Ling Ting Tong ,Otis Williams and the Charms
1114,To Kill a Mockingbird,1962,Not available,
1115,Up,2009,Habanera ,
1116,Up,2009,The Spirit of Adventure ,Craig Copeland 
1117,The Sting,1973,Easy Winners ,
1118,The Sting,1973,The Entertainer ,
1119,The Sting,1973,Gladiolus Rag ,
1120,The Sting,1973,Pineapple Rag ,
1121,The Sting,1973,Rag Time Dance ,
1122,The Sting,1973,Solace ,
1123,The Sting,1973,Listen to the Mockingbird ,
1124,The Sting,1973,The Washington Post ,
1125,The Sting,1973,The Cascades ,
1126,L.A. Confidential,1997,Ac-cent-tchu-ate the Positive ,Johnny Mercer 
1127,L.A. Confidential,1997,Oh! Look at Me Now ,Lee Wiley 
1128,L.A. Confidential,1997,Silent Night ,
1129,L.A. Confidential,1997,Silver Bells ,
1130,L.A. Confidential,1997,The Christmas Blues ,Dean Martin 
1131,L.A. Confidential,1997,Mele Kalikimaka ,Bing Crosby and The Andrews Sisters 
1132,L.A. Confidential,1997,Look for the Silver Lining ,Chet Baker 
1133,L.A. Confidential,1997,Jingle Bells ,
1134,L.A. Confidential,1997,Hit the Road to Dreamland ,Betty Hutton 
1135,L.A. Confidential,1997,Wheel of Fortune ,Kay Starr 
1136,L.A. Confidential,1997,Makin' Whoopee ,
1137,L.A. Confidential,1997,The Lady is a Tramp ,Gerry Mulligan Quartet 
